index	name	color	mapping
1	ctx-rh-lateralorbitofrontal_1 	#000000	8
2	ctx-rh-lateralorbitofrontal_2 	#af114b	8
3	ctx-rh-parsorbitalis_1 	#33f094	8
4	ctx-rh-frontalpole_1 	#a0e98e	8
5	ctx-rh-medialorbitofrontal_1 	#6015cd	8
6	ctx-rh-medialorbitofrontal_2 	#78d9e9	8
7	ctx-rh-parstriangularis_1 	#32d35e	8
8	ctx-rh-parsopercularis_1 	#d41b56	8
9	ctx-rh-rostralmiddlefrontal_1 	#d1186e	8
10	ctx-rh-rostralmiddlefrontal_2 	#47982c	8
11	ctx-rh-superiorfrontal_1 	#7c7417	8
12	ctx-rh-superiorfrontal_2 	#e9a040	8
13	ctx-rh-superiorfrontal_3 	#50e1da	8
14	ctx-rh-superiorfrontal_4 	#69a72f	8
15	ctx-rh-caudalmiddlefrontal_1 	#48d755	8
16	ctx-rh-precentral_1 	#ce78a9	8
17	ctx-rh-precentral_2 	#8f78fb	8
18	ctx-rh-precentral_3 	#e814cb	8
19	ctx-rh-paracentral_1 	#587aa4	8
20	ctx-rh-rostralanteriorcingulate_1 	#c300eb	8
21	ctx-rh-caudalanteriorcingulate_1 	#f9808f	8
22	ctx-rh-posteriorcingulate_1 	#aafbd2	8
23	ctx-rh-isthmuscingulate_1 	#ead924	8
24	ctx-rh-postcentral_1 	#4a296a	8
25	ctx-rh-postcentral_2 	#2753ad	8
26	ctx-rh-supramarginal_1 	#6b1d1f	8
27	ctx-rh-supramarginal_2 	#eb22a2	8
28	ctx-rh-superiorparietal_1 	#abc4dd	8
29	ctx-rh-superiorparietal_2 	#7787b9	8
30	ctx-rh-superiorparietal_3 	#bf09a2	8
31	ctx-rh-inferiorparietal_1 	#821ddd	8
32	ctx-rh-inferiorparietal_2 	#d395c0	8
33	ctx-rh-inferiorparietal_3 	#377068	8
34	ctx-rh-precuneus_1 	#5cd59f	8
35	ctx-rh-precuneus_2 	#95c60d	8
36	ctx-rh-cuneus_1 	#eba1c8	8
37	ctx-rh-pericalcarine_1 	#e23c04	8
38	ctx-rh-lateraloccipital_1 	#7facc9	8
39	ctx-rh-lateraloccipital_2 	#cf2b2f	8
40	ctx-rh-lateraloccipital_3 	#60bb5f	8
41	ctx-rh-lingual_1 	#435fe4	8
42	ctx-rh-lingual_2 	#11be08	8
43	ctx-rh-fusiform_1 	#b6e8a8	8
44	ctx-rh-fusiform_2 	#e5de0b	8
45	ctx-rh-parahippocampal_1 	#3fd046	8
46	ctx-rh-entorhinal_1 	#31f4e0	8
47	ctx-rh-temporalpole_1 	#ce7f5f	8
48	ctx-rh-inferiortemporal_1 	#6ce2df	8
49	ctx-rh-inferiortemporal_2 	#4c1436	8
50	ctx-rh-middletemporal_1 	#33338a	8
51	ctx-rh-middletemporal_2 	#18fb73	8
52	ctx-rh-bankssts_1 	#c0602b	8
53	ctx-rh-superiortemporal_1 	#7e3526	8
54	ctx-rh-superiortemporal_2 	#e769bd	8
55	ctx-rh-transversetemporal_1 	#fe88f6	8
56	ctx-rh-insula_1 	#d7fdb9	8
57	ctx-rh-insula_2 	#1b0851	8
58	right-pulvinar	#ff0000	9
59	right-anterior	#00ff00	9
60	right-medio_dorsal	#ffff00	9
61	right-ventral_latero_dorsal	#ff7b00	9
62	right-central_lateral-lateral_posterior-medial_pulvinar	#00ffff	9
63	right-ventral_anterior	#ff00ff	9
64	right-ventral_latero_ventral	#0000ff	9
65	right-thalamus_proper	#00760e	9
66	right-caudate	#7abadc	9
67	right-putamen	#ec0db0	9
68	right-pallidum	#0c30ff	9
69	right-accumbens_area	#ffa500	9
70	right-hippocampus	#67ffff	9
71	right-amygdala	#dcd814	9
72	right-ventraldc	#a52a2a	9
73	ctx-lh-lateralorbitofrontal_1 	#ccb68e	8
74	ctx-lh-lateralorbitofrontal_2 	#af114b	8
75	ctx-lh-parsorbitalis_1 	#33f094	8
76	ctx-lh-frontalpole_1 	#a0e98e	8
77	ctx-lh-medialorbitofrontal_1 	#6015cd	8
78	ctx-lh-medialorbitofrontal_2 	#78d9e9	8
79	ctx-lh-parstriangularis_1 	#32d35e	8
80	ctx-lh-parsopercularis_1 	#d41b56	8
81	ctx-lh-rostralmiddlefrontal_1 	#d1186e	8
82	ctx-lh-rostralmiddlefrontal_2 	#47982c	8
83	ctx-lh-superiorfrontal_1 	#7c7417	8
84	ctx-lh-superiorfrontal_2 	#e9a040	8
85	ctx-lh-superiorfrontal_3 	#50e1da	8
86	ctx-lh-superiorfrontal_4 	#69a72f	8
87	ctx-lh-caudalmiddlefrontal_1 	#48d755	8
88	ctx-lh-precentral_1 	#ce78a9	8
89	ctx-lh-precentral_2 	#8f78fb	8
90	ctx-lh-precentral_3 	#e814cb	8
