index, name                                                   , type      , volume-mm3 
1   , ctx-rh-lateralorbitofrontal_1                          , cortical  ,     2120.0 
2   , ctx-rh-lateralorbitofrontal_2                          , cortical  ,     2478.0 
3   , ctx-rh-lateralorbitofrontal_3                          , cortical  ,     2139.0 
4   , ctx-rh-lateralorbitofrontal_4                          , cortical  ,     1310.0 
5   , ctx-rh-parsorbitalis_1                                 , cortical  ,     3263.0 
6   , ctx-rh-frontalpole_1                                   , cortical  ,     1242.0 
7   , ctx-rh-medialorbitofrontal_1                           , cortical  ,     2684.0 
8   , ctx-rh-medialorbitofrontal_2                           , cortical  ,     1482.0 
9   , ctx-rh-medialorbitofrontal_3                           , cortical  ,     1053.0 
10  , ctx-rh-parstriangularis_1                              , cortical  ,      828.0 
11  , ctx-rh-parstriangularis_2                              , cortical  ,     3617.0 
12  , ctx-rh-parsopercularis_1                               , cortical  ,     2054.0 
13  , ctx-rh-parsopercularis_2                               , cortical  ,     2903.0 
14  , ctx-rh-rostralmiddlefrontal_1                          , cortical  ,     4643.0 
15  , ctx-rh-rostralmiddlefrontal_2                          , cortical  ,     2325.0 
16  , ctx-rh-rostralmiddlefrontal_3                          , cortical  ,     4621.0 
17  , ctx-rh-rostralmiddlefrontal_4                          , cortical  ,     2940.0 
18  , ctx-rh-rostralmiddlefrontal_5                          , cortical  ,     2600.0 
19  , ctx-rh-rostralmiddlefrontal_6                          , cortical  ,     3117.0 
20  , ctx-rh-superiorfrontal_1                               , cortical  ,     2876.0 
21  , ctx-rh-superiorfrontal_2                               , cortical  ,     3896.0 
22  , ctx-rh-superiorfrontal_3                               , cortical  ,     4371.0 
23  , ctx-rh-superiorfrontal_4                               , cortical  ,     3395.0 
24  , ctx-rh-superiorfrontal_5                               , cortical  ,     4530.0 
25  , ctx-rh-superiorfrontal_6                               , cortical  ,     2581.0 
26  , ctx-rh-superiorfrontal_7                               , cortical  ,     2333.0 
27  , ctx-rh-superiorfrontal_8                               , cortical  ,     2593.0 
28  , ctx-rh-caudalmiddlefrontal_1                           , cortical  ,     1902.0 
29  , ctx-rh-caudalmiddlefrontal_2                           , cortical  ,     1472.0 
30  , ctx-rh-caudalmiddlefrontal_3                           , cortical  ,     4154.0 
31  , ctx-rh-precentral_1                                    , cortical  ,     2043.0 
32  , ctx-rh-precentral_2                                    , cortical  ,     2144.0 
33  , ctx-rh-precentral_3                                    , cortical  ,     2148.0 
34  , ctx-rh-precentral_4                                    , cortical  ,     2874.0 
35  , ctx-rh-precentral_5                                    , cortical  ,     2887.0 
36  , ctx-rh-precentral_6                                    , cortical  ,     3948.0 
37  , ctx-rh-paracentral_1                                   , cortical  ,     1352.0 
38  , ctx-rh-paracentral_2                                   , cortical  ,     2005.0 
39  , ctx-rh-paracentral_3                                   , cortical  ,     1279.0 
40  , ctx-rh-rostralanteriorcingulate_1                      , cortical  ,     2495.0 
41  , ctx-rh-caudalanteriorcingulate_1                       , cortical  ,     2761.0 
42  , ctx-rh-posteriorcingulate_1                            , cortical  ,     2016.0 
43  , ctx-rh-posteriorcingulate_2                            , cortical  ,     1772.0 
44  , ctx-rh-isthmuscingulate_1                              , cortical  ,     2969.0 
45  , ctx-rh-postcentral_1                                   , cortical  ,     1959.0 
46  , ctx-rh-postcentral_2                                   , cortical  ,     1460.0 
47  , ctx-rh-postcentral_3                                   , cortical  ,     2093.0 
48  , ctx-rh-postcentral_4                                   , cortical  ,     1104.0 
49  , ctx-rh-postcentral_5                                   , cortical  ,     2622.0 
50  , ctx-rh-supramarginal_1                                 , cortical  ,     1481.0 
51  , ctx-rh-supramarginal_2                                 , cortical  ,     3333.0 
52  , ctx-rh-supramarginal_3                                 , cortical  ,     2583.0 
53  , ctx-rh-supramarginal_4                                 , cortical  ,     3194.0 
54  , ctx-rh-superiorparietal_1                              , cortical  ,     2287.0 
55  , ctx-rh-superiorparietal_2                              , cortical  ,     2012.0 
56  , ctx-rh-superiorparietal_3                              , cortical  ,     3554.0 
57  , ctx-rh-superiorparietal_4                              , cortical  ,     2911.0 
58  , ctx-rh-superiorparietal_5                              , cortical  ,     2064.0 
59  , ctx-rh-superiorparietal_6                              , cortical  ,     1518.0 
60  , ctx-rh-superiorparietal_7                              , cortical  ,     2177.0 
61  , ctx-rh-inferiorparietal_1                              , cortical  ,     2882.0 
62  , ctx-rh-inferiorparietal_2                              , cortical  ,     3803.0 
63  , ctx-rh-inferiorparietal_3                              , cortical  ,     2553.0 
64  , ctx-rh-inferiorparietal_4                              , cortical  ,     1982.0 
65  , ctx-rh-inferiorparietal_5                              , cortical  ,     3623.0 
66  , ctx-rh-inferiorparietal_6                              , cortical  ,     2948.0 
67  , ctx-rh-precuneus_1                                     , cortical  ,     1437.0 
68  , ctx-rh-precuneus_2                                     , cortical  ,     1802.0 
69  , ctx-rh-precuneus_3                                     , cortical  ,     2353.0 
70  , ctx-rh-precuneus_4                                     , cortical  ,     3455.0 
71  , ctx-rh-precuneus_5                                     , cortical  ,     3134.0 
72  , ctx-rh-cuneus_1                                        , cortical  ,     1420.0 
73  , ctx-rh-cuneus_2                                        , cortical  ,     1736.0 
74  , ctx-rh-pericalcarine_1                                 , cortical  ,     1413.0 
75  , ctx-rh-pericalcarine_2                                 , cortical  ,     1096.0 
76  , ctx-rh-lateraloccipital_1                              , cortical  ,     1774.0 
77  , ctx-rh-lateraloccipital_2                              , cortical  ,     2883.0 
78  , ctx-rh-lateraloccipital_3                              , cortical  ,     2493.0 
79  , ctx-rh-lateraloccipital_4                              , cortical  ,     4240.0 
80  , ctx-rh-lateraloccipital_5                              , cortical  ,     3832.0 
81  , ctx-rh-lingual_1                                       , cortical  ,     2614.0 
82  , ctx-rh-lingual_2                                       , cortical  ,     1638.0 
83  , ctx-rh-lingual_3                                       , cortical  ,     2786.0 
84  , ctx-rh-fusiform_1                                      , cortical  ,     2258.0 
85  , ctx-rh-fusiform_2                                      , cortical  ,     3564.0 
86  , ctx-rh-fusiform_3                                      , cortical  ,     2782.0 
87  , ctx-rh-fusiform_4                                      , cortical  ,     3919.0 
88  , ctx-rh-parahippocampal_1                               , cortical  ,     1955.0 
89  , ctx-rh-entorhinal_1                                    , cortical  ,     1729.0 
90  , ctx-rh-temporalpole_1                                  , cortical  ,     2783.0 
91  , ctx-rh-inferiortemporal_1                              , cortical  ,     2604.0 
92  , ctx-rh-inferiortemporal_2                              , cortical  ,     2608.0 
93  , ctx-rh-inferiortemporal_3                              , cortical  ,     2513.0 
94  , ctx-rh-inferiortemporal_4                              , cortical  ,     4183.0 
95  , ctx-rh-middletemporal_1                                , cortical  ,     3376.0 
96  , ctx-rh-middletemporal_2                                , cortical  ,     2126.0 
97  , ctx-rh-middletemporal_3                                , cortical  ,     2711.0 
98  , ctx-rh-middletemporal_4                                , cortical  ,     4290.0 
99  , ctx-rh-bankssts_1                                      , cortical  ,     2711.0 
100 , ctx-rh-superiortemporal_1                              , cortical  ,     2357.0 
101 , ctx-rh-superiortemporal_2                              , cortical  ,     2150.0 
102 , ctx-rh-superiortemporal_3                              , cortical  ,     2692.0 
103 , ctx-rh-superiortemporal_4                              , cortical  ,     1160.0 
104 , ctx-rh-superiortemporal_5                              , cortical  ,     4470.0 
105 , ctx-rh-transversetemporal_1                            , cortical  ,     1019.0 
106 , ctx-rh-insula_1                                        , cortical  ,     1492.0 
107 , ctx-rh-insula_2                                        , cortical  ,     2778.0 
108 , ctx-rh-insula_3                                        , cortical  ,     2985.0 
109 , Right-Pulvinar                                         , subcortical,        0.0 
110 , Right-Anterior                                         , subcortical,        0.0 
111 , Right-Medio_Dorsal                                     , subcortical,        0.0 
112 , Right-Ventral_Latero_Dorsal                            , subcortical,        0.0 
